Vero sp.j. #         biuro@vero-stg.pl     #(12) 659 85 00
Jakub Kubica Qmtech ##504 009 029
Jakub Lisak Przedsiębiorstwo Instalacyjno-Budowlane &quot;Elbud&quot; #         biuro@ze-elbud.pl     #606 308 409
Jakub Malinowski Firma Usługowa &quot;Tel Euro&quot; #         jm.teleuro@gmail.com     #Oceń firmę i napisz o niej opinię:
Jakub Przebinda Eflo #         przekuba@op.pl     #602 718 661
Jakub Sacha COM ##(12) 357 58 63
Jakub Śliwiński Jacom #         jacom@op.pl     #(48) 362 56 09
J.a.M. Instalacje Jakub Jania #         janiajakub22@wp.pl     #Oceń firmę i napisz o niej opinię:
Jamat- Jakub Kasperek Mateusz Wawak S.C. #         krawiecradek@gmail.com     #501 131 650
Jamrocha Dariusz Firma Handlowo-Usługowa ##606 648 177
Jan Kuchno - Firma Usługowa &quot;K.J. Tronik&quot; #         kjtronik@poczta.fm     #Oceń firmę i napisz o niej opinię:
Jan Michalec Firma Elektroinstalacyjna ##500 292 687
Jan Niziołek Przedsiębiorstwo Produkcyjno-Montażowe &quot;Elektro-Naft&quot; #         elektronaft@op.pl     #609 533 020
&quot;Jan&quot; PHUP Jan Gąsiorek ##(33) 843 10 05
Jan Rój Zakład Instalacji Elektrycznych ##501 672 418
Jan Solarczyk PHU Elektrosol #         jansolarczyk@poczta.fm     #(18) 266 83 42
&quot;Jan-Drut&quot; FHU Janusz Micał ##(14) 663 89 78
&quot;Janitech&quot; Przedsiębiorstwo Instalacji Robert Janik #         janitechrj@o2.pl     #516 171 070
&quot;Janko&quot; Firma Remontowo-Usługowa Jan Wilk ##502 166 999
Jankowicz Małgorzata Jankowicz Zbigniew S.C. Firma Handlowo-Usługowa ##(18) 540 10 44
Janusz Buczak Zakład Elektroinstalacyjny #         januszbuczak@op.pl     #502 431 717
Janusz Darłak Darel - Zakład Elektroinstalacyjny #         jdarlak@op.pl     #Oceń firmę i napisz o niej opinię:
Janusz Kornaś J.K.Energia #         j.k.energia@op.pl     #Oceń firmę i napisz o niej opinię:
Janusz Machowski Elektryczne Instalacje Przemysłowe i Budowlane ##531 298 435
Janusz Nowak Jano Instalacje Sanitarne #         jano69@vp.pl     #Oceń firmę i napisz o niej opinię:
Janusz Stanik Media System #         mediasystem@op.pl     #509 644 332
Janusz Szymski &quot;Elektro-Instal&quot; #         janusz.szymski.elektroinstal@wp.pl     #606 863 548
Janusz Urbanik Firma Budowlano-Wykończeniowa Jaś Budowlaniec #         urb79@interia.pl     #512 576 480
Janusz Wybituła Dellsystem Firma Instalacyjno-Budowlana ##601 519 033
Janusz Zięba Zakład Instalacji Sanitarnych #         serwis_wodno_gazowy@int.pl     #Oceń firmę i napisz o niej opinię:
&quot;Jar - Elektro&quot; Paweł Jarosz #         jar-elektro@wp.pl     #607 663 080
Jarek Krzysztof Zakład Instalacji Wodno-Kanalizacyjnych CO i Gazowych Pogotowie Hydrauliczne #         jarek.krzysztof.hydraulika@gmail.com     #(14) 625 03 23
&quot;Jarex&quot; Jarosław Steczko ##603 291 309
Jaro Jarosław Bachula #         jarek.bachula@wp.pl     #Oceń firmę i napisz o niej opinię:
Jarosław Dróżdż #         jarekd171@gmail.com     #Oceń firmę i napisz o niej opinię:
Jarosław Dziedzic Helio Sun #         jaro.d5@poczta.onet.pl     #Oceń firmę i napisz o niej opinię:
Jarosław Guzik ##604 537 405
Jarosław Konik Jar-Bud Firma Remontowo-Wykończeniowa #         jarbud02@gmail.com     #794 054 800
Jarosław Matecki FHU Jarq ##793 737 601
Jarosław Mosio Elmos - Elektroinstalacje ##509 703 220
Jarosław Motyka Tele-Hit ##(14) 627 81 66
Jarosław Mrózek Usługi Elektroinstalacyjne &quot;Konkret&quot; #         jmrozek@vp.pl     #511 798 262
Jarosław Pająk Instalacje Elektro-Energetyczne #         spider04@poczta.fm     #512 012 072
Jarosław Pająk Usługi Elektroinstalacyjne i Ogólnobudowlane &quot;Elektro-Jar&quot; ##505 627 725
Jarosław Szpak Zakład Instalacji Wod-Kan-Gaz-Co #         jar-1971@tlen.pl     #506 336 149
Jarosław Urbański FHU Urban ##885 471 459
Jarosław Wiśniowski Usługi Remontowo Budowlane #         wisniowski_bau@o2.pl     #796 013 876
Jarosz Jacek Zakład Instalacyjny #         j.d.jarosz@wp.pl     #602 720 277
Jarosz Jarosław Usługi Elektryczne ##509 485 846
&quot;Jarotar&quot; Jarosław Święs #         jaro@tar.pl     #608 684 059
&quot;Jasiński Instalacje&quot; FHU Grzegorz Jasiński #         gregor1982@o2.pl     #Oceń firmę i napisz o niej opinię:
&quot;Jaspin&quot; Przedsiębiorstwo Wielobranżowe Jan Kuryłas #         jaspin@interia.pl     #664 443 860
Jaworska Agnieszka F.H.U. &quot;Skawsoft&quot; ##(12) 276 02 00
&quot;JB SYSTEM&quot; S.C. J. Urban J. Zych #         biuro@jbsystem.pl     #664 094 301
Jd Concept Jarosław Dutka #         jdutka@jd-concept.pl     #792 898 030
Jd Energy Sp. z o.o. ##730 976 656
Jerzy Bakalarz Zakład Usług Elektrycznych ##508 300 055
Jerzy Cepiel Centrum Usługowo - Serwisowe #         jerzyk_c@poczta.onet.pl     #662 140 933
Jerzy Chlebek Usługi Ogólnobudowlane ##605 469 094
Jerzy Parda Zakład Instalacji Sanitarnych ##501 404 834
Jerzy Skraba Techome #         biuro@techome.pl     #608 888 708
Jerzy Stefaniak FHU Intelbas #         intelbas@gmail.com     #Oceń firmę i napisz o niej opinię:
Jerzy Warzecha Usługi Energetyczne i Telekomunikacyjne Jerzy Warzecha #         biuro@ueit.pl     #(14) 627 51 98
&quot;Jgibm&quot; Jakub Góra #         jakubgora1991@o2.pl     #Oceń firmę i napisz o niej opinię:
J&amp;K Petrokom Net Jerzy Burdzy #         jerzy.burdzy@gmail.com     #608 878 376
Jkm Józef Madura #         maduura@wp.pl     #Oceń firmę i napisz o niej opinię:
Jmd Energy Sp. z o.o. #         info@jmdenergy.pl     #660 048 969
Jmj Security Sp. z o.o. ##792 793 233
JMP Telefon Piotr Kuryło ##(12) 260 67 10
Joanna Januszyk Arrakaste S.C. #         jjanuszyk@gmail.com     #Oceń firmę i napisz o niej opinię:
Joanna Pawlukanis Telesmoker #         j.pawlukanis@interia.eu     #Oceń firmę i napisz o niej opinię:
Jolanta Głuchowska Przedsiębiorstwo Usługowe &quot;Sylex&quot; #         ubezpieczeniazytnia@op.pl     #605 540 881
&quot;Joński&quot; Instalacje Sanitarno-Grzewcze Wojciech Joński #         jonwo@op.pl     #512 283 878
&quot;Joter&quot; Firma Usługowa Ryszard Jaśkiewicz ##606 850 599
&quot;Jotron&quot; Piotr Szymczykiewicz ##602 308 009
&quot;Jotron&quot; piotr Szymczykiewicz ##883 268 281
Józef Klukoszowski Zakład Instalatorstwa Elektrycznego ##(18) 285 13 25
Józef Socha Zakład Elektroinstalacyjny #         zelso@poczta.onet.pl     #501 415 159
Józef Strach - Zakład Instalacji Sanitarnych Co i Gazowych ##606 806 450
Józef Wirt FH Hawi-2 #         havi2@onet.pl     #601 582 045
Józef Wróblewski Usługi Remontowo-Budowlane Instalatorstwo Elektryczne #         rafalekw97@o2.pl     #501 230 315
Józef Wyrostek Ochrona Osób i Mienia &quot;Pit-Bull&quot; ##604 186 186
Józef Zachara - Usługi Remontowo - Budowlane Instalacje Wod. - Kan. Gaz C.O. ##602 377 617
Józef Żaba &quot;Gal - Elektro&quot; #         galelektro@wp.pl     #Oceń firmę i napisz o niej opinię:
Józef Żmija Zakład Instalacji Elektrycznych ##601 497 451
&quot;Jp-Elektro&quot; Piotr Szczurek #         piotr.szczurek@poczta.fm     #(14) 692 54 90
&quot;Jrk&quot; Jerzy Pasternak #         jrk.pasternak@gmail.com     #606 646 351
&quot;Jrk&quot; Jerzy Pasternak #         jrk.pasternak@gmail.com     #Oceń firmę i napisz o niej opinię:
&quot;JS Sieci Kablowe&quot; ##602 758 097
JST Tech Jarosław Bębenek ##691 833 555
&quot;Jt-Ka&quot; Jan Orzechowski ##(12) 642 28 29
&quot;Junkers&quot; Zakład Instalacji Wodno-Kanalizacyjnych CO i Gaz Marek Knapik ##608 718 244
&quot;Jupiter-Tech&quot; S.C. Piotr Mytnik Tomasz Mytnik #         biuro@jupiter-tech.pl     #888 017 087
Juraszek Piotr Usługi Instalacyjne #         juraszekpiotr@poczta.onet.pl     #691 549 135
Jurgała Zdzisław Elektryk ##501 149 821
&quot;Jurki&quot; Firma Handlowo-Usługowo-Produkcyjna Adam Jurek ##(14) 679 27 62
Juszczak Janusz Instalacje Sanitarne Wodkan C.O. ##608 282 533
&quot;K2&quot; S.C. Chrapek Krzysztof Żurek Krzysztof #         k2_krzysztof@wp.pl     #603 275 789
&quot;KA III&quot; Firma Handlowo-Usługowa Wiesław Gomółka ##(12) 387 16 23
Kabotech Jakub Szczepanek #         kabotech@poczta.pl     #783 316 868
Kacper Zastępa Zkelectric #         kacper_zastepa@o2.pl     #505 268 302
Kaczor Stanisław Zakład Elektroinstalacyjny ##(12) 288 12 41
Kadzik Antoni ##889 863 643
Kaito Krzysztof Bajer ##792 880 155
&quot;Kaja&quot; Zakład Mechaniki Jacek Starzyk ##(14) 626 99 24
Kajdas Waldemar Karpierz Czesław S.C. Elektroinstalatorstwo #         el-kar@wp.pl     #Oceń firmę i napisz o niej opinię:
&quot;Kalargo&quot; Firma Usługowo-Handlowa Artur Kałkus ##692 499 785
&quot;Kaldo&quot; Firma Handlowo-Usługowa Biuro Handlowe #         kaldo@kaldo.pl     #(12) 292 29 00
Kaleta Janusz Firma Remontowo-Budowlana ##504 085 176
Kamil Blicharski #         quintesential@gmail.com     #Oceń firmę i napisz o niej opinię:
Kamil Gierczak #         kamilgierczakk@gmail.com     #Oceń firmę i napisz o niej opinię:
Kamil Hajduga #         kamhaj1999@wp.pl     #Oceń firmę i napisz o niej opinię:
Kamil Jajecznica Jaks #         kamiljajecznica@gmail.com     #784 607 296
Kamil Kaczor #         kaczor.kamil@o2.pl     #Oceń firmę i napisz o niej opinię:
Kamil Kajmowicz #         kamil.kajmowicz@o2.pl     #Oceń firmę i napisz o niej opinię:
Kamil Knet - Wod-Kan, CO, GAZ ! #         knet.k@o2.pl     #531 040 172
Kamil Łasecki #         kamil.lasecki@outlook.com     #Oceń firmę i napisz o niej opinię:
Kamil Makowicz Elektrotechnik-Siaja #         makowicz.kamil@gmail.com     #Oceń firmę i napisz o niej opinię:
Kamil Nowak Instalacje Elektryczne i Teletechniczne #         kamil_mikolaj_nowak@op.pl     #Oceń firmę i napisz o niej opinię:
Kamil Płatek &quot;Elektro Masters&quot; #         kamil.platek89@gmail.com     #661 113 499
Kamil Tytko #         k.tytko@op.pl     #792 300 630
Kamil Zbroja Instalacje Elektryczne #         kamilzbrojainstalacje@gmail.com     #730 147 712
&quot;Kamkas-Net&quot; Kamil Beczek #         k.beczek@kamkas-net.pl     #609 330 607
Kamont Kamil Gaik #         gaikkamil00@gmail.com     #Oceń firmę i napisz o niej opinię:
Kam-Tech Janusz Gośliński ##(12) 638 13 00
Kania Łukasz Instalacje Wodno-Kanalizacyjne ##(18) 443 86 69
Kania Łukasz Zakład Usług Instalacyjnych Sklep nr 1 Artykuły Instalacyjne i Sanitarne #         kaniasklep@wp.pl     #(18) 444 24 27
Kapanowski Rafał Projektowanie Nadzory i Realizacja Inwestycji Elektrycznych &quot;El - Projekt&quot; #         rafal.kapanowski@wp.pl     #500 045 709
Kapito Grzegorz Burda #         biuro@kapito.com.pl     #605 828 782
&quot;Kapsch&quot; Sp. z o.o. ##(12) 413 73 50
Kargaz Dariusz Sajka #         kargaz@gmail.com     #(12) 645 55 87
Karisma - Radiokomunikacja Łukasz Wojtanowicz #         firma@karisma.pl     #(12) 626 04 12
&quot;Kar-Mat&quot; Instalacje i Pomiary Elektryczne Paweł Pietras #         kar.mat.pietras@gmail.com     #600 989 033
Karol Kapanowski Helios Energy Pv #         heliosenergy@interia.pl     #Oceń firmę i napisz o niej opinię:
Karol Zaczyński #         karol.zaczynski@interia.pl     #Oceń firmę i napisz o niej opinię:
Karolina Soczomska Termoplus #         wdvs@interia.pl     #662 040 750
Karolina Wysocka Sattech #         kontakt@sattech-krakow.pl     #609 321 289
Karpała Instalacje Justyna Karpała ##604 121 552
Karpiel Jakub ##501 965 496
Kasina Wiesław Zakład Instalacji Sanitarnych #         wkasina@gmail.com     #601 070 228
&quot;Kasjer&quot; S.C. ##514 309 209
&quot;Kasjer&quot; S.C. Filia ##514 309 209
Kasprzak Paweł i Stanisław S.C. Zakład Elektro-Budowlany #         p.kas@o2.pl     #604 612 333
Katarzyna Bagińska Opticom #         kasia.wyczesany@gmail.com     #Oceń firmę i napisz o niej opinię:
Katarzyna Cygan Siedem Kotów Instalacje #         biuro@siedemkotow.pl     #Oceń firmę i napisz o niej opinię:
Katarzyna Janiczek Be Beauty Academy #         biuro@akademiaforever.pl     #882 622 611
Katarzyna Magiera #         elektromag@interia.pl     #Oceń firmę i napisz o niej opinię:
&quot;Kawax&quot; ZUH Kawończyk Waldemar Waldemar Kawończyk ##602 620 319
Kawik Marek Serwis Elektryczny #         kawik.marek@gmail.com     #502 481 810
Kazimierz Kusek FUH #         kazimierz.kusek@gmail.com     #511 862 255
Kazimierz Liszka Instalacje Elektryczne - Odgromowe - Fotowoltaiczne - Usługi Minikoparką #         kazekl.72@interia.pl     #Oceń firmę i napisz o niej opinię:
Kb - Energy Instalacje Fotowoltaiczne Krystian Borowiecki #         krystiaanborowiecki@gmail.com     #Oceń firmę i napisz o niej opinię:
Kb-Elektro Kamil Brandys #         kambil007@interia.pl     #787 341 769
Kb-Elektro Kamil Brandys ##787 341 769
&quot;KBT&quot; Obsługa Firm Księgowość Biuro Technika Agnieszka Mudlaff #         kbt.biuro@wp.pl     #Oceń firmę i napisz o niej opinię:
Kcs Serwis Kotłów Gazowych Krzysztof Cepielik #         kcs44@wp.pl     #731 088 811
Kdia Artur Krzyworzeka #         artur.krzyworzeka@gmail.com     #Oceń firmę i napisz o niej opinię:
&quot;Kejor-Technika&quot; ##602 697 168
&quot;Kejsiki&quot; Łukasz Sarata #         sklep@kejsiki.com     #517 720 779
&quot;Keny&quot; Wojciech Łukaszczyk #         wojtek@keny-group.pl     #Oceń firmę i napisz o niej opinię:
Keramnet Marek Kurowski ##(12) 270 58 58
Kg-Tec Krzysztof Gregorczyk #         elektrykkg@gmail.com     #Oceń firmę i napisz o niej opinię:
Kibard Maciej Drabik #         mackod@interia.pl     #725 314 312
KIBARD S.C. Wojciech Drabik Maciej Drabik #         mackod@interia.pl     #725 314 312
Kibard Wojciech Drabik #         wojciech.drabik@vp.pl     #784 507 611
Kiełtyka Piotr Kiełtyka Piotr Zakład Instalacji Elektrycznych i Pomiarowo-Kontrolnych #         kieltyka.piotr@wp.pl     #(14) 610 94 13
Kj - Tech Krzysztof Jawor #         krzysiek.jawor.91@gmail.com     #790 349 411
KJ Instalacje Piotr Kuliga ##605 784 115
K&amp;L Elektro-Instal Kacper Kuciel #         kucielk@wp.pl     #509 453 498
Klaudiusz Serafin Conicon #         klaudiusz.serafin@gmail.com     #605 373 717
Klebański Maciej - Firma Usługowa &quot;Elektro-Instal&quot; #         fu.elektro.instal@gmail.com     #604 090 461
Klima Krzysztof Usługi Monterskie ##(14) 665 35 98
Klimaro Zakład Produkcyjno-Handlowo-Usługowy #         biuro@klimaro.com.pl     #509 330 877
Klimasara Grzegorz Usługi Elektroinstalacyjne ##(18) 277 37 63
&quot;Klimaster&quot; Robert Mazur ##501 653 885
&quot;Klima-Tel&quot; S.C. Wentylacja Bartosz Szymczuch Grzegorz Chwaja #         biuro@klimatel.com.pl     #Oceń firmę i napisz o niej opinię:
Klimaterm S.C. ##602 314 557
Klimatyzowanydom Mariola Kosek #         biuro@klimatyzowanydom.pl     #503 381 955
Kłosek Ryszard ZUH Elektryczno Transportowy #         rysz_ard@wp.pl     #Oceń firmę i napisz o niej opinię:
Km Media Katarzyna Dąbrowa #         km.media33@gmail.com     #Oceń firmę i napisz o niej opinię:
&quot;Kmak-Ster Krzysztof Makuch&quot; Krzysztof Makuch ##668 011 944
&quot;K&amp;M-Elektryk&quot; Łukasz Medoń ##(32) 623 83 02
&quot;KMK Klima&quot; S.C. #         biuro@kmkklima.pl     #(12) 262 93 43
kmkELtech Instalacje Elektro-Teletechniczne Krzysztof Michalik ##600 425 122
&quot;Km-Net&quot; Marek Soból #         marek@km-net.pl     #(14) 665 32 24
&quot;Knaft Integrator&quot; Michał Knafel ##693 149 559
Knutelski Stanisław Instalatorstwo Sanitarne ##(18) 262 39 31
&quot;Kobyłecki Elektroinstalacje&quot; Sp. z o.o. ##(14) 686 14 10
Kochanek Adam Zakład Instalacji Sanitarnych ##(14) 642 85 65
Koczy Dariusz Zakład Techniki Mikroprocesorowej #         d.koczy@gmail.com     #(18) 264 61 82
Koładka Mariusz Firma Usługowo-Handlowa #         mariokol@gmail.com     #(12) 647 70 93
Koma-Tel Michał Balara #         biuro@naprawtelefon.pl     #Oceń firmę i napisz o niej opinię:
Komet Krzysztof Kącik #         serwis.komet@vp.pl     #601 527 443
Kom-Gsm S.C. Grzegorz Szczurek Rafał Rusnarczyk ##500 777 998
&quot;Kompex&quot; Firma Handlowo-Usługowa Gabriel Sulka ##(18) 264 60 55
Kompleksowe Usługi Elektryczne Tomasz Bartos #         bartezksc@onet.eu     #Oceń firmę i napisz o niej opinię:
&quot;Komplex&quot; S.C. Firma Projektowo-Handlowo-Usługowa ##663 570 990
&quot;Komtech&quot; Piotr Martuszewski #         biuro@komtech.net.pl     #(18) 443 70 17
Konel Konrad Jajecznica #         jajoo.acm@gmail.com     #Oceń firmę i napisz o niej opinię:
Konrad Imach Imti #         ollafus@poczta.fm     #607 161 289
Konrad Lewiński ZHU Kon-Lew #         l.konrad8@gmail.com     #720 830 638
Konrad Motyka Instalkon #         konradm7@op.pl     #609 761 649
Konrad Niemiec PHU Glejt-Serwis ##608 100 137
Konrad Sobas - Firma Usługowo-Handlowa &quot;Line System&quot; ##503 104 615
Konrad Trzajna Instalacje Sanitarne ##515 937 098
Konrad Zarycki &quot;Monterski&quot; #         konrad_zarycki@o2.pl     #608 645 573
Konstanty Włodzimierz Instalatorstwo Elektryczne ##605 249 899
Konstel Zakład Usług Teletechnicznych Stefan Zieliński ##502 301 922
Kontakt Agencja Ochrony Sp. z o.o. #         sekretariat@kontaktochrona.pl     #515 240 114
Kontakt Ochrona Monitoring Sp. z o.o. #         biuro@kontaktochrona.pl     #Oceń firmę i napisz o niej opinię:
&quot;Kontakt&quot; Usługi Elektryczne i Budowlane Adam Pustułka ##609 812 295
Kontroltech S.C. T.Tabor M.Tabor ##514 093 749
&quot;Kontur&quot; Stańczyk i Dudek SP.J. Sklep &quot;Rex&quot; ##(32) 611 04 21
&quot;Kool&quot; Jarosław Boduch Firma Handlowo-Usługowa #         novagb@wp.pl     #783 791 000
Kopczyk Józef Koncesjonowany Zakład Instalacji Sanitarnych #         kziskopczyk@poczta.fm     #602 710 816
Korbut Teleenergetyka Sp. z o.o. ##(12) 410 52 22
Kordeczka J.i W. S.C. Zakład Elektroinstalacyjny i Pomiarów ##(18) 332 53 85
Korzonkiewicz Grzegorz Instalacje Wod-Kan. C.O.-Gaz ##515 184 239
Kosek Janusz Zakład Usług Wod.-Kan. Gaz. CO ##501 149 484
&quot;Kostex&quot; S.C. Firma Usługowo-Handlowa Janusz Orzeł Andrzej Orzeł Sylwester Orzeł #         kostex@autograf.pl     #(18) 333 92 80
Kowal Andrzej Zakład Usługowo-Remontowy ##600 306 606
&quot;Kowalczyk&quot; PUH Zakład Instalacji Elektrycznych Kowalczyk Jan ##(18) 262 85 80
&quot;Kowalik&quot; Usługi Telekomunikacyjno-Remontowe Bogdan Kowalski ##(14) 652 43 59
Kozera Włodzimierz Usługi Instalacyjne #         kontakt@instalacje-kozera.pl     #510 147 130
Kozik Mieczysław Usługi Elektroinstalacyjne #         kozimie@interia.pl     #500 216 044
Kozioł Wiesław &quot;Konstel&quot; #         kserohades@gmail.com     #799 331 374
Kozłowski Przemysław Instalacje Wodno-Kanalizacyjne ##663 205 014
Kozub Tomasz Zakład Instalacji Wodno-Kanalizacyjnych, Gazowych i CO ##(12) 658 06 31
&quot;Krak System&quot; Krzysztof Błąkała ##(12) 412 34 49
&quot;Krakbell-Telekom&quot; Przedsiębiorstwo Usługowo-Handlowo-Produkcyjne #         centrala@krakbell.krakow.pl     #(12) 269 01 71
&quot;Krak-Light&quot; Marcin Siwek ##664 784 715
Krakowski Internet Sp. z o.o. ##(12) 345 20 41
Kraków Energo Serwis Sp. z o.o. ##692 629 572
&quot;Krakrem&quot; Piotr Żmuda #         biuro@krakrem.pl     #603 553 006
&quot;Krak-Sanit&quot; Firma Handlowo-Usługowa Roman Makuła #         kraksanit@interia.pl     #(12) 641 67 64
&quot;KrakSatMedia&quot; ##516 574 432
&quot;Krakserwis&quot; #         junkers.krakserwis@wp.pl     #(12) 262 95 79
