Wimet Wiktor Kędzia #         biuro@wimetcnc.pl     #530 717 756
Karol Stadnik Dop #         stadnik.karol@gmail.com     #Oceń firmę i napisz o niej opinię:
Karolew Films Produkcja Filmów Tomasz Parnowski #         karolewfilms@wp.pl     #783 294 813
Karolina Majkowska Karamajka #         karamajka.studio@gmail.com     #Oceń firmę i napisz o niej opinię:
Karolina Włodarczyk Przedsiębiorstwo Handlowo-Usługowe Qba #         karolinawlodarczyk@poczta.pl     #Oceń firmę i napisz o niej opinię:
Karomi Przedsiebiorstwo Produkcyjno-Handlowo-Usługowe Robert Miszczak #         biuro@karomi.com.pl     #(42) 214 08 31
Kartex Ewa Cocińska ##501 620 997
Kartkografka Magdalena Klepacz #         kartkografka@gmail.com     #Oceń firmę i napisz o niej opinię:
Kasia Films Sp. z o.o. ##602 322 991
Kasia Katarzyna Kaźmierczak ##519 375 900
Kas-Kam Sławomir Kawczyński Punkt Sprzedaży ##605 107 500
Kas-Kam Usługi Kamieniarskie Sławomir Kawczyński ##(43) 822 58 54
Kaski Spółka Wodna ##(62) 783 86 12
Kasmo Spółka z o.o. #         firma@kasmo.com.pl     #601 098 777
Kasper Kacper Turała #         kac.turala@gmail.com     #Oceń firmę i napisz o niej opinię:
Kastor S.A. ##(43) 675 51 68
Kastyl Firma Konfekcyjna Katarzyna Sikorska ##(43) 823 96 12
Kaszarnia S.C. Jan Badek Sławomir Badek Jolanta Florczyk #         jolmar147@interia.pl     #508 466 958
Kaszmir S.C. Elżbieta Pazdej Iwona Raczkowska ##664 169 420
Katang Katarzyna Jurek ##502 539 656
Katarzyna Gilińska-Kasperek Demes S.C.Katarzyna Gilińska-Kasperek Paweł Wlazło ##606 347 047
Katarzyna Pokorska Bucle #         katlasota@yahoo.pl     #Oceń firmę i napisz o niej opinię:
Katarzyna Urbankowska-Bąk Bivet Wspólnik Spółki Cywilnej #         kontakt@bivet.com.pl     #Oceń firmę i napisz o niej opinię:
Katex Sp. z o.o. ##604 501 249
Katusza Stanisław Zakład Rzeźniczo-Wędliniarski #         masarnia.katusza@interia.pl     #601 221 851
Kauer Małgorzata Kauer Tomasz S.C. Przedsiębiorstwo Zabawek Drewnianych #         malgorzatakauer@gmail.com     #(42) 215 63 02
Kawi Kamil Kopera #         kamkop1988@wp.pl     #Oceń firmę i napisz o niej opinię:
Kawiks Sp.j. ##(43) 672 11 93
Kawu S.C. J. Kotus A. Woźniak ##(42) 611 62 50
Kaya Zakład Dziewiarsko-Konfekcyjny Jadwiga Kapuścińska Zbigniew Kapuściński ##(42) 686 41 85
Kazimiera Kotusiewicz ##519 102 615
Kazimiera Leszewska Justin ##603 841 867
Kazimierz Szczęsny ##602 193 992
Kaźmierczak Zbigniew i Katarzyna Zakład Uboju #         priikazmierczak@wp.pl     #Oceń firmę i napisz o niej opinię:
Kb- Granit Błażej Olczyk #         teuberblazej@gmail.com     #519 755 956
Kejtikart Katarzyna Niewiadomska #         kejtikart@vp.pl     #661 712 601
Keksik Sp.j. Gomulska i Wspólnicy #         cukierniakeksik@gmail.com     #(42) 710 70 77
Kelmar Małgorzata Keller ;Wspólnik Spółki Cywilnej Food Concept #         kelmar2000@o2.pl     #501 083 372
Kelmax Krzysztof Keller; Wspólnik Spółki Cywilnej Food Concept ##508 130 222
Kelwin Film Sebastian Dębicki #         sebastian.debicki@gmail.com     #Oceń firmę i napisz o niej opinię:
Kem Elżbieta Miniak #         k_miniak@op.pl     #(42) 652 62 40
Keral Firma Produkcyjna #         keral@onet.eu     #(42) 213 73 51
Keram Sp. z o.o. Przedsiębiorstwo Produkcyjno-Handlowe ##(44) 714 69 87
Kerio Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe Piotr Więcek ##602 315 311
Kędziorek Joanna ##(42) 633 31 52
Kępa Grzegorz Zakład Wędliniarski ##(43) 677 43 20
Kępka Tomasz Gospodarstwo Sadownicze ##(46) 815 53 38
Kęsy Krzysztof Usługi Kamieniarskie ##696 391 660
Kier S.C. Jakub Engler #         mak111@wp.pl     #Oceń firmę i napisz o niej opinię:
Kier S.C. Zbigniew Engler #         kier.sc@gmail.com     #Oceń firmę i napisz o niej opinię:
Kier Zbigniew Engler S.C. #         pkarina@interia.pl     #508 079 660
Kierasińska Henryka Maria - Hadimex #         hadimex@interia.pl     #609 111 153
Kijewski Przedsiębiorstwo Produkcyjno-Usługowo-Handlowe Mariusz Kijewski #         kijuuuu@wp.pl     #600 177 224
Kikgel Sp. z o.o. #         biuro@kikgel.com.pl     #(44) 719 23 40
Kiki S.C. Przetwórstwo Mięsne Barbara Węgrecka Krzysztof Węgrecki ##(42) 716 11 90
Kilargo Sp. z o.o. ##(42) 279 17 64
Kilargo Sp. z o.o. ##(42) 279 17 56
Kilian Przedsiębiorstwo Produkcyjno-Handlowe Ireneusz Kilian #         kilian@kilian.pl     #(42) 679 12 15
Kin - Ma Kinga Brożyna #         kin-ma@kin-ma.pl     #502 354 847
King ZPHU Joanna Król #         king@king-sklep.pl     #504 124 290
Kin-Max Przedsiebiorstwo Produkcyjno-Handlowo-Usługowe Łukasz Bielicki ##510 717 699
Kiwi Productions Paulina Dębińska #         debinskapaulina@wp.pl     #Oceń firmę i napisz o niej opinię:
Kiwis Przedsiębiorstwo Wielobranżowe Urszula i Andrzej Wieczorek ##(42) 215 41 54
K&amp;L Łukasz Gudaj #         biuro@caldo.com.pl     #(42) 719 27 03
Klasiko-Pol PPHU Export-Import Staszek Grażyna #         info@gumis.net.pl     #(44) 714 23 78
Klata Mieczysław F.P.H.  Patex  ##512 275 745
Klimeko Przedsiębiorstwo Produkcyjno-Handlowo Bogusław Klimczak #         klimeko@klimeko.pl     #(43) 823 29 56
Klimeko Sp. z o.o. ##517 132 868
Klimeko Sp. z o.o. Sp.k. #         klimeko@klimeko.pl     #693 923 363
Klimex Adrian Klimek #         adek77@vp.pl     #501 243 639
Kliszewski Wiesław Usługowe Wytwarzanie Wyrobów z Mięsa ##(43) 829 16 05
Klotho Sp. z o.o. ##669 727 235
Km Fashion Sp. z o.o. ##724 172 453
Kme Sp. z o.o. ##(42) 611 00 26
Kmieciak Czesław Zakład Kamieniarski ##(46) 837 69 17
Kmiecik Zbigniew Zakład Kamieniarski #         kmiecikz@vp.pl     #(44) 757 72 40
Knb International Sp. z o.o. #         mkrasowski@interia.pl     #Oceń firmę i napisz o niej opinię:
Knk-Kanaka Investment Sp. z o.o. w Organizacji ##(42) 636 05 59
Knk-Kanaka Production Sp. z o.o. w Organizacji ##(42) 636 05 59
Kobi Marek Sińczak #         marek.si@interia.pl     #Oceń firmę i napisz o niej opinię:
Kocik Iwona Zakład Szwalniczy Dakar ##509 233 881
Koćwin Wojciech Gospodarstwo Ogrodnicze #         robertbox1973@op.pl     #Oceń firmę i napisz o niej opinię:
Kogra Grażyna Kowalińska, Andrzej Lesiak ##(42) 639 52 90
KOI Fashion Paweł Patelak S.C. ##506 000 578
Kojax Przedsiębiorstwo Produkcyjno-Usługowo-Handlowe Jacek Kokot ##607 544 683
Kokieteria Wioleta Bartnicka #         wbartnicka@vp.pl     #501 702 521
Kolad Sławomir Korad #         s.kolad@wp.pl     #(42) 659 72 48
Kolary Waldemar Kolary Justyna Markus #         justynakolary@interia.pl     #(46) 831 62 57
Koliber Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe ##503 146 247
Koliber Sp.j. Czesław Cholewiński Sebastian Ciszek ##(42) 717 52 88
Koli-Tex Firma Szymon Dawidowicz #         liladawidowicz@interia.pl     #(44) 714 50 67
Kolor Pasja Paulina Bednarek ##661 134 051
Kolorex Jan Sobczak ##(42) 226 05 80
Kolrex Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe Artykuły Tekstylne Sławomir Staszek ##(44) 714 69 67
Koltel PHU Krzysztof Michalski ##(44) 714 10 39
Kolwin Sp. z o.o. #         kolwin@op.pl     #(43) 675 43 54
Kołacinek Park Rozrywki ##(46) 874 76 70
Koma PHU Marek Komajda ##(63) 289 24 40
Komex PPUH Marek Komza ##603 611 509
Komi Polska ##(46) 814 72 72
Kompania Piwowarska S.A. Centrum Dystrybucji ##(42) 225 58 22
Kongskilde Polska Sp. z o.o. #         mail@kpl.kongskilde.com     #(24) 355 96 15
Koniarek S.C. Zakład Mięsny Jolanta i Andrzej Koniarek #         sekretariat@koniarek.pl     #(24) 252 11 60
Koniarek Zakład Przetwórstwa Mięsnego #         sekretariat@koniarek.pl     #(24) 252 11 59
Konkamo PPHU Konrad Przybylski #         konrad.przy@gmail.com     #Oceń firmę i napisz o niej opinię:
Konrad Dystrybucja Sp. z o.o. ##(43) 678 17 52
Konrad Kaca Kacexpol #         k@konradkaca.pl     #795 184 257
Konrad Regina Konrad Zdzisław Bzdurscy Sp.j. ##(43) 678 17 52
Konrad Szlęzak ##510 048 155
Konstak Sp. z o.o. Produkcja i Montaż Konstrukcji Stalowych #         konstak@konstak.pl     #(44) 732 00 51
Konstruktor Odzieży Ajmena Irena Cichacka ##609 704 670
Kontex PHP Konrad Wyka ##501 703 105
Kopacz Zakład Przetwórstwa Mięsnego Jadwiga Kopacz ##(44) 723 05 30
Koperski Ryszard Kamieniarstwo ##(34) 311 28 67
Kopex S.C. #         kopex@onet.pl     #509 948 548
Kopka Firma Konfekcyjna ##(43) 676 26 66
Kopka S.C. Firma Konfekcyjna Włodzimierz Kopka Justyna Kubiak ##509 022 500
Kopp Sp. z o.o. ##508 252 142
Koprowski Bogdan Gospodarstwo Szkółkarskie #         bogdan.koprowski@wp.pl     #Oceń firmę i napisz o niej opinię:
Kopya PPHU Jacek Kopytek ##(42) 714 01 36
Kordpol Zakład Odzieżowy ##502 410 277
Korkus Produkcja Soków Jan Korkus #         biuro@korkus.pl     #(34) 311 17 90
Korona Stone FHU Andrzej Puzia #         andrzejpuzia5212@gmail.com     #602 717 906
Koselak Firma Handlowo-Produkcyjna Marek Koselak #         m.koselak@box43.pl     #(44) 723 19 08
Kossowscy Bożena i Henryk Gospodarstwo Ogrodnicze ##(42) 658 92 18
Kośka Edward Kośka #         edwardkoska@interia.pl     #600 144 018
Kośka Piotr Usługi Kamieniarskie #         koska63@o2.pl     #(42) 648 49 43
Kotex Kotynia Wiesława ##604 211 583
KOW - Rol Sp. z o.o. ##781 377 254
Kowal Józef Ubojnia Drobiu ##(43) 886 09 36
Kowalik Anna Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe Aniko ##(46) 874 18 19
Kowalstwo Artystyczne - PHU Bogdan Pluta #         plutab@o2.pl     #602 381 498
Kozak Collectione Ryszard Kozak Agnieszka Michalska ##(42) 674 46 07
Kozak Ryszard Pracownia Krawiecka #         kozak51@op.pl     #(42) 674 46 07
Kozłowski Tadeusz Ubojnia #         tadeusz-ubojnia@wp.pl     #Oceń firmę i napisz o niej opinię:
Kr Renata Krawczyk ##509 340 490
Kraina Zaproszeń Justyna Wójcik #         krainazaproszen@gmail.com     #514 666 292
Krajewski PPHU Marek Krajewski ##(46) 837 45 30
Krajewski Sklep Firmowy Wojciech Krajewski ##669 991 616
Krajewski Sklep Firmowy Wojciech Krajewski ##(43) 843 37 12
Krajewski Stoisko Firmowe Wojciech Krajewski #         wojtek@zpckrajewski.pl     #663 771 616
Krajewski Zakład Piekarniczo-Cukierniczy Wojciech Krajewski ##603 466 240
Krajowa Spółka Cukrowa S.A. Cukrownia Dobrzelin #         dobrzelin@polski-cukier.pl     #(24) 285 10 08
Krajtex Grażyna Gajdzicka #         krajtex@krajtex.com     #Oceń firmę i napisz o niej opinię:
Krakowiak Edward Usługi Krawieckie ##(42) 716 57 03
Krakowscy Marian i Krzysztof S.C. Zakład Cukierniczy #         burgman@op.pl     #Oceń firmę i napisz o niej opinię:
Krasnal #         krasnalsieradz@interia.pl     #503 108 327
Krasnal #         krasnalsieradz@interia.pl     #Oceń firmę i napisz o niej opinię:
Krasnal Bożena Florczak ##(42) 647 11 00
Kraw-Biel Paweł Harenza #         biuro@krawbiel.com     #(44) 724 61 74
Kraw-Fur PPUH Krawiec Włodzimierz ##(43) 677 21 37
Krawiectwo Anna Sekuła #         annasekula@onet.pl     #Oceń firmę i napisz o niej opinię:
Krawiectwo Damskie - Usługi ##(43) 824 70 56
Krawiectwo Djw Sp. z o.o. #         j-wrobel@wp.pl     #734 749 638
Krawiectwo i Bieliźniarstwo Ireneusz Kolasa ##(42) 659 47 77
Krawiectwo Kkamachi Jan Salski #         kkamachisalski@gmail.com     #(42) 214 22 90
Krawiectwo Lekkie i Ciężkie „ G R O T E X „ Włodzimierz Grochulski ##(42) 614 48 00
Krawiectwo S.C. Anna Kręcijasz Małgorzata Kręcijasz ##(42) 214 90 63
Krawiectwo Wyrób i Sprzedaż Anna Otocka ##(44) 754 21 78
KRAW-POL Anna Sikorska #         sikorska-anna73@wp.pl     #572 151 427
Krawpol S.C. Krzysztof Krawiec Janina Krawiec ##502 081 400
Kreator Studio Mody Anna Wilczek #         gin.bed@gmail.com     #880 346 888
Kreizik Zbigniew Krauze ##601 305 575
Kris Line Sp. z o.o. ##(42) 719 43 15
Krisgum Krzysztof Chudy #         krisgum@krisgum.pl     #(44) 781 52 65
Kris-Mode Krzysztof Florczak ##668 349 942
Krispol PPUH Aleksandra Przybylska ##510 746 979
Krispol Przedsiębiorstwo Produkcyjno-Usługowo-Handlowe Krzysztof Cecilak Iwona Wiktorska ##(42) 659 73 47
Kristopher Przedsiębiorstwo Jan Laskowski ##(43) 671 30 10
Krojownia Maxi-Krój Tomasz Machnicki #         maxikroj@krojownialodz.pl     #601 233 563
Kro-Mat Krojownia Usługowa Przeszycia Wanda Szymczak #         kromatlodz@gmail.com     #512 100 324
Król Sławomir ##502 313 277
Królikowski Janusz Przedsiębiorstwo Produkcyjno-Handlowe Anagri #         anagri7@wp.pl     #601 372 563
Królikowski Mirosław Przdsiębiorstwo Produkcyjno Handlowo-Usługowe Ami - Barw #         amibarw@amibarw.com.pl     #(44) 710 24 22
Kruk Grzegorz Firma Usługowa #         kruk.g@interia.pl     #(42) 213 43 78
Krymus Gastronomia &amp; Handel S.C. #         bartłomiej.musial@yahoo.pl     #Oceń firmę i napisz o niej opinię:
Krysland PHPU Waldemar Kotala #         poczta@lodz4u.pl     #501 781 301
Krystino Krystyna Kucharczyk #         karolinastanowska@onet.pl     #663 346 720
Krystyna Dąbrowska PPHU Pik ##519 111 632
Krystyna Grad Zakład Usług Reklamowych #         grad@onet.pl     #Oceń firmę i napisz o niej opinię:
Krystyna Warszakowska ##505 976 886
Kryszpol Sp.J. B.M.S.Krysztofiak Zakład Mięsny #         kryszpol@o2.pl     #(42) 718 63 83
Kryzo PPUH Zenon Łasek ##503 006 089
Krzysław System S.C. #         krzyslawsystem@wp.pl     #(43) 824 90 55
Krzysztof Bogdan Żurowicz #         kzurek01@o2.pl     #Oceń firmę i napisz o niej opinię:
Krzysztof Busiakiewicz Przedsiębiorstwo Produkcyjno-Usługowo-Handlowe Christ-Bucz ##504 256 148
Krzysztof Dyła Krawiectwo Lekkie Wyrób i Sprzedaż Usługi Budowlane ##502 214 120
Krzysztof Dziadak ##(43) 824 90 55
Krzysztof Dziedzic ##790 479 347
Krzysztof Galanciak Zakład Konfekcyjny Galdan ##500 198 002
Krzysztof Gmerek - Ubój Zwierząt Rzeźnych #         gmerek_dawid@o2.pl     #664 761 991
Krzysztof Jabłkiewicz Styleoo; Eurofil #         styleoo.pl@gmail.com     #Oceń firmę i napisz o niej opinię:
Krzysztof Jagielski Itd Partners ##512 559 089
Krzysztof Krysiak PPUH Christobal ##691 922 113
Krzysztof Krzysztof Wdowczak #         krzysztofwdowczak@wp.pl     #693 350 847
Krzysztof Kubczyk ##(42) 678 20 35
Krzysztof Kwiecień Diamond Glass; Wspólnik Spółki Cywilnej Front-Haus ##505 147 598
Krzysztof Łuszcz Gonzo S.C. ZPHU Anna Łuszcz Krzysztof Łuszcz ##506 075 369
Krzysztof Robak Zakład Kamieniarski Robak ##604 323 449
Krzysztof Szymajda ##(46) 831 22 88
Krzyś  Anna Kujawa #         masarnia_krzys@onet.pl     #606 220 563
Ksara Sp.j. #         ksara@ksara.com.pl     #(43) 823 51 29
Ksd Rolety Konrad Działecki #         konrad.dzialecki@op.pl     #Oceń firmę i napisz o niej opinię:
Kt-R Krawczyk Ireneusz ##500 262 573
Kuba-Tex Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe Włodzimierz Kubasiewicz #         kuba_tex@vp.pl     #502 214 031
Kulda Paweł Zakład Krawiecki ##(43) 823 55 65
Kuligowski Konrad Rzeźnictwo i Wędliniarstwo ##502 239 258
Kulik - Sylwia Jeżewska Ewa Jeżewska S.C. #         kulikstyle@gmail.com     #Oceń firmę i napisz o niej opinię:
Kul-Met Zakład Mechaniczny Tadeusz Kuliś #         kulmet@onet.pl     #(44) 683 34 28
Ku-Mi Firma Konfekcyjna Mirosława Koprowska-Kumosińska ##(42) 655 00 11
Ku-Mi Firma Konfekcyjna Mirosława Koprowska-Kumosińska #         kumi@kumi.pl     #Oceń firmę i napisz o niej opinię:
Kurczak Dariusz Firma Produkcyjna #         dariusz.kurczak@neostrada.pl     #Oceń firmę i napisz o niej opinię:
Kurczak Dariusz Firma Produkcyjna ##(44) 710 13 39
Kuzik Adam Zakład Kamieniarski ##(42) 214 14 77
Kuzik Stanisław Zakład Kamieniarsko-Betoniarski #         ospmatti@o2.pl     #(42) 214 15 15
Kuźnia Resory Factory Sp. z o.o. #         biuro@krf.biz.pl     #Oceń firmę i napisz o niej opinię:
Kwartet PPHU Grzegorz Kwarciany ##501 893 115
Kwiatkowscy Anna Krzysztof Gospodarstwo Ogrodnicze ##(42) 649 96 49
L Amour Przedsiębiorstwo Produkcyjno-Usługowo-Handlowe Robert Marcin Sowiński ##601 212 111
La Dora Dorota Rojek #         ladora@poczta.fm     #781 049 848
La Perla By Otomański Bartosz Otomański #         otto2164@gmail.com     #509 299 101
La Retto - producent odzieży lekkiej LVR Marzena Świerczyńska ##503 618 866
La Vende Sp. z o.o. ##512 120 767
Label Trade Janusz Karliński ##531 668 111
Laboratorium Naukowo-Wdrożeniowe Korona Wojciech Luft #         luft@chemist.com     #602 837 088
Laboratorium Produkcji Ogrodniczej przy Zespole Szkół Rzemiosła im. J. Kilińskiego #         laboratoriumzsp21@interia.pl     #(42) 655 73 28
Lady Cotton Produkcja Odzieży ##(42) 640 55 84
Lady Fashion Agnieszka Kopka ##602 686 802
Laik Knows Produkcja - Damian Sztendel #         laik.knows@gmail.com     #Oceń firmę i napisz o niej opinię:
Lakdorn Grzegorz Gągolewski ##603 192 370
Lakiki Agnieszka Mach ##691 071 100
Lama Lama Sp. z o.o. Sp.k. #         lamapl@poczta.onet.pl     #(43) 677 13 54
Lama Sp. z o.o. #         lamapl@poczta.onet.pl     #(43) 671 17 00
Lamar Małgorzata Skonieczna #         biuro@lamar-lamowki.pl     #782 887 039
Lana Studio By Svitlana Ivanenko #         vika05lana@gmail.com     #Oceń firmę i napisz o niej opinię:
Landstal Sp.j. Bartnik Witkowski #         biuro@landstal.pl     #500 470 410
Lanta Jolanta Bukowska #         lanta@lanta.pl     #(42) 654 16 82
Lanzarotte Sp. z o.o. ##602 894 733
La-Pasta S.C. PPH ##(43) 675 15 43
Lara Fashion Kamil Tomasik #         sklep@larafashion.com     #Oceń firmę i napisz o niej opinię:
Largo Piotr Iwanek #         pkni@interia.pl     #502 125 799
Larimar Dorota Wosik ##660 747 143
Larum Service Przedsiębiorstwo Handlowo-Usługowe ##(46) 832 21 21
Laser Jet Krzysztof Wasilewski ##(42) 655 20 20
Lasoń Tomasz Kamieniarstwo ##(42) 646 52 70
Laster-Bud Iwona Seferyniak ##508 137 551
Lava Films Sp. z o.o. #         agnieszka@lavafilms.pl     #602 132 222
Lava Przedsiębiorstwo Produkcyjno-Handlowe Dorota Berdys Krzysztof Berdys ##(42) 719 15 71
Lavico&#039;La Dominika Migas ##507 138 132
Lbp Manufacturing Poland Sp. z o.o. ##(22) 504 18 00
Le Vestiaire By Brandenburg Jakub Brandenburg ##796 489 463
Lech Sobczyk Wspólnik Spółki Cywilnej - Zakład Usług Projektowych i Handlu Tai-Pan ##(42) 651 53 64
LECH-KRYS Krawiectwo Leszek Majer ##605 725 047
Led Company S.C. Pamnani Kamlesh; New Abm International S.C. ##(46) 874 04 12
Led Euro Spółka z o.o. #         ledeuro@onet.pl     #667 679 008
Leda Wytwórnia Chemiczno-Kosmetyczno-Perfumeryjna ##(42) 634 76 89
Leder Sp. z o.o. ##(43) 843 34 07
Legar #         legedz@wp.pl     #665 277 541
Legato Marek Pytlas #         legato@interia.eu     #609 062 249
Legrand Polska Sp. z o.o. ##(42) 676 21 07
Legs Sp. z o.o. Magazyn #         legs@legs.com.pl     #(42) 259 29 99
Le-Gum Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe #         legum@op.pl     #501 581 236
Lele Crossmedia Production Sp. z o.o. ##661 776 715
Lemis Group Sp. z o.o. ##(42) 640 97 48
Lemme Anna Hertel #         anna_wa@op.pl     #Oceń firmę i napisz o niej opinię:
Lemon Jarosław Jędrzejczak #         lemonbis@interia.pl     #502 262 296
Lemon-Bis S.C. Jędrzejczak Jarosław Szubert Mariusz ##(42) 719 95 05
Lenarstudio Michał Lenarczyk ##698 829 933
Lennylamb S.C. Katarzyna Sikorska Joanna Bogdan ##506 146 790
Lerman Stone ##(42) 682 36 76
Les Boulets Menage Sp. z o.o. #         biuro@boulety.pl     #(42) 686 08 43
Leszek Wroński. Skup i Ubój Zwierząt Rzeźnych. Sprzedaż Mięsa. ##512 450 844
Leśnik Zbigniew Leśnik Jan Zabawkarstwo ##(42) 213 18 34
Lettering - Włodzimierz Michalak #         michalakwlodzimierz@gmail.com     #601 565 147
Lewson Wideofilmowanie Adrian Lewandowski #         lewson@poczta.pl     #661 258 585
Liben Jacek Juras; Jacek Juras Wspólnik Spółki Cywilnej Gabi Moda ##604 512 223
Lichawa S.C. Zakład Wędliniarski Bogumiła Orzepińska, Julita Gabrysiak #         orzepinski.ryszard@gmail.com     #Oceń firmę i napisz o niej opinię:
Lidex Lidia Krasoń ##509 382 543
Lidi Lidia Semba ##(62) 784 73 94
Lidia Wieczorek Przedsiębiorstwo Produkcyjno-Usługowo-Handlowe Liwitex ##509 448 514
Likaon Sp. z o.o. #         wjt@wjt.com.pl     #501 044 375
Limar Sp. z o.o. #         limar@limar.pl     #Oceń firmę i napisz o niej opinię:
Limona Justyna Bień ##(42) 687 07 00
Linpol S.C. PPUH Krzysztof Marian Grabicki ##(42) 226 71 77
Linpol S.C. Przedsiębiorstwo Produkcyjno-Usługowo-Handlowe Anita Grabicka Krzysztof Grabicki Izabela Wilk #         linpol@o2.pl     #Oceń firmę i napisz o niej opinię:
Lintex II S.C. J.Pawlikowski G.Szrama M.Martynelis #         lintex@lintex.pl     #(42) 640 21 09
Lis PPHU Marcin Lis #         biuro@firmalis.pl     #601 068 870
Lissoni Dorota Więcek ##500 427 863
